# date|notice_no|segment|category|department|subject|attachment
|20251127-66|Debt|Circulars Listed Companies|Listing Compliance-Monitoring|Modifications to Chapter IV of the Master Circular for Debenture Trustees dated August 13, 2025.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-66/20251127-66.pdf
|20251127-65|Debt|Circulars Listed Companies|Listing Compliance-Monitoring|Specification of the terms and conditions for Debenture Trustees for carrying out activities outside the purview of SEBI.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-65/20251127-65.pdf
|20251127-64|Debt|Circulars Listed Companies|Listing Compliance-Monitoring|Timeline for submission of information by the Issuer to the Debenture Trustee(s)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-64/20251127-64.pdf
|20251127-63|Equity|Circulars Listed Companies|Listing Compliance-Monitoring|SEBI (Listing obligations and disclosure requirements) (Fifth amendment) regulations, 2025|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-63/20251127-63.pdf
|20251127-62|General|Company related|Listing Operations|Daily Bulletin|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-62/20251127-62.pdf
|20251127-61|Research Analysts|Others|Membership Compliance|Gazette Notification issued by SEBI related to second amendment in “SECURITIES AND EXCHANGE BOARD OF INDIA (RESEARCH ANALYSTS) Regulation”|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-61/20251127-61.pdf
|20251127-60|Investment Advisers|Others|Membership Compliance|Gazette Notification issued by SEBI related to second amendment in SECURITIES AND EXCHANGE BOARD OF INDIA (INVESTMENT ADVISERS) Regulation|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-60/20251127-60.pdf
|20251127-59|Equity|Corporate Actions|Listing Operations|Scheme of Arrangement (for Demerger) of Hindustan Unilever Ltd (Scrip Code 500696)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-59/20251127-59.pdf
|20251127-58|Equity|Company related|Listing Operations|Listing of Equity Shares of SUDEEP PHARMA LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-58/20251127-58.pdf
|20251127-57|Equity|Trading|DOSS|Applicability of Long Term Additional Surveillance Measure (LT-ASM)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-57/20251127-57.pdf
|20251127-56|Equity|Trading|DOSS|Applicability of Short Term Additional Surveillance Measure (ST-ASM)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-56/20251127-56.pdf
|20251127-55|Equity|Trading|DOSS|CHANGES IN PRICE BAND|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-55/20251127-55.pdf
|20251127-54|Equity|Trading|DOSS|Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-54/20251127-54.pdf
|20251127-53|Equity|Trading|DOSS|Enhanced Surveillance Measure (ESM)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-53/20251127-53.pdf
|20251127-52|Equity|Company related|DOSS|Clarifications received from the companies|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-52/20251127-52.pdf
|20251127-51|Equity|Trading|DOSS|REVISION OF SCRIPS IN TRADE TO TRADE SEGMENT|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-51/20251127-51.pdf
|20251127-50|Equity|Company related|Listing Operations|Public Issue of PURPLE WAVE INFOCOM LIMITED - Allocation to Anchor Investors|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-50/20251127-50.pdf
|20251127-49|Equity|Company related|Listing Operations|Listing of 1,600 Bonus Equity Shares kept in abeyance of Torrent Pharmaceuticals Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-49/20251127-49.pdf
|20251127-48|Equity|Company related|Listing Operations|Listing of new securities of K&R Rail Engineering Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-48/20251127-48.pdf
|20251127-47|Equity|Company related|Listing Operations|Listing of New Securities of Black Box Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-47/20251127-47.pdf
|20251127-46|Equity|Company related|Listing Operations|Listing of New Securities of Remi Edelstahl Tubulars Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-46/20251127-46.pdf
|20251127-45|Equity|Company related|Listing Operations|Listing of New Securities of Apollo Micro Systems Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-45/20251127-45.pdf
|20251127-44|Debt|Company related|Listing Operations|Listing of new Commercial Paper of Aarti Industries Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-44/20251127-44.pdf
|20251127-43|Debt|Company related|Listing Operations|Listing of new Commercial Paper of Manappuram Finance Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-43/20251127-43.pdf
|20251127-42|Debt|Company related|Listing Operations|Listing of new debt securities of Keertana Finserv Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-42/20251127-42.pdf
|20251127-41|Debt|Company related|Listing Operations|Listing of new Commercial Paper of PCBL Chemical Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-41/20251127-41.pdf
|20251127-40|Debt|Others|Listing Operations|Listing of new Treasury Bills (T-Bills)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-40/20251127-40.pdf
|20251127-39|Debt|Company related|Listing Operations|Listing of new Commercial Paper of Adani Enterprises Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-39/20251127-39.pdf
|20251127-38|Debt|Company related|Listing Operations|Listing of new Commercial Paper of Tata Power Co. Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-38/20251127-38.pdf
|20251127-37|Debt|Company related|Listing Operations|Listing of new Commercial Paper of SBICAP Securities Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-37/20251127-37.pdf
|20251127-36|Debt|Company related|Listing Operations|Listing of new Commercial Paper of 360 ONE WAM LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-36/20251127-36.pdf
|20251127-35|Debt|Company related|Listing Operations|Listing of new Commercial Paper of Godrej Finance Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-35/20251127-35.pdf
|20251127-34|Debt|Company related|Listing Operations|Listing of new debt securities of Mangal Credit and Fincorp Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-34/20251127-34.pdf
|20251127-33|Debt|Corporate Actions|Listing Operations|Suspension of Tradingin Debentures of KINARA CAPITAL PVT LTD|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-33/20251127-33.pdf
|20251127-32|Debt|Company related|Listing Operations|Update Regarding debt securities of Edelweiss Retail Finance Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-32/20251127-32.pdf
|20251127-31|Equity|Company related|Listing Operations|Listing of further securities issued by the companies under ESOP/ESOS|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-31/20251127-31.pdf
|20251127-30|Equity|Company related|Listing Operations|Listing of New Securities of Rajvi Logitrade Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-30/20251127-30.pdf
|20251127-29|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of UNIGOLD FINANCE LTD|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-29/20251127-29.pdf
|20251127-28|Debt|Corporate Actions|Listing Operations|Part Redemption(Revised) of Debentures of MAGNUM VENTURES LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-28/20251127-28.pdf
|20251127-27|Currency Derivatives|Trading|Trading Operations|Mock Trading on Saturday, November 29th, 2025 for Currency Derivatives segment|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-27/20251127-27.pdf
|20251127-26|Commodity Derivatives|Trading|Trading Operations|Mock Trading on Saturday, November 29th, 2025 for Commodity Derivatives segment|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-26/20251127-26.pdf
|20251127-25|EGR|Trading|Trading Operations|Mock Trading on Saturday, November 29th, 2025 for Electronic Gold Receipts segment|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-25/20251127-25.pdf
|20251127-24|Derivatives|Trading|Trading Operations|Mock Trading on Saturday November 29, 2025 for Equity Derivatives segment|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-24/20251127-24.pdf
|20251127-23|Equity|Trading|Trading Operations|Mock Trading on Saturday, November 29th, 2025 for Equity segment|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-23/20251127-23.pdf
|20251127-22|Equity|Company related|Listing Operations|Public Issue of EXATO TECHNOLOGIES LIMITED - Allocation to Anchor Investors|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-22/20251127-22.pdf
|20251127-21|General|Others|Membership Compliance|Admission of Member.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-21/20251127-21.pdf
|20251127-20|Debt|Company related|Listing Operations|Listing of new debt securities of AXIS Bank Ltd.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-20/20251127-20.pdf
|20251127-19|Mutual Fund|Trading|Trading Operations|Availability of HELIOS SMALL CAP FUND for ongoing transactions on BSE StAR MF Platform|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-19/20251127-19.pdf
|20251127-18|Equity|Company related|Listing Operations|Change in Group of Equity Shares of KSR Footwear Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-18/20251127-18.pdf
|20251127-17|Equity|Company related|Listing Compliance-Monitoring|Change in status of company|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-17/20251127-17.pdf
|20251127-16|Equity|Trading|Trading Operations|Offer to Buy – Acquisition Window (Takeover) for SOMA PAPERS AND INDUSTRIES LTD –Live Activities Schedule|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-16/20251127-16.pdf
|20251127-15|Equity|Trading|Trading Operations|Offer to Buy – Acquisition Window (Takeover) for OCTAWARE TECHNOLOGIES LTD – Live Activities Schedule|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-15/20251127-15.pdf
|20251127-14|General|Settlement/RMS|Post Trade|Settlement Schedule Offer to Buy – Acquisition Window (Takeover) for OCTAWARE TECHNOLOGIES LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-14/20251127-14.pdf
|20251127-13|Equity|Company related|Listing Operations|Listing of Equity Shares of SUDEEP PHARMA LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-13/20251127-13.pdf
|20251127-12|Debt|Company related|Listing Operations|Listing of new debt securities of MUFIN GREEN FINANCE LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-12/20251127-12.pdf
|20251127-11|Debt|Company related|Listing Operations|Listing of new debt securities of Anzen India Energy Yield Plus Trust|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-11/20251127-11.pdf
|20251127-10|General|Settlement/RMS|Post Trade|Demat Auction - 764|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-10/20251127-10.pdf
|20251127-9|Debt|Corporate Actions|Listing Operations|Suspension of Trading in Commercial Paper|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-9/20251127-9.pdf
|20251127-8|Equity|Company related|Listing Operations|Rights Entitlements of INDOWIND ENERGY LIMITED.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-8/20251127-8.pdf
|20251127-7|Debt|Corporate Actions|Listing Operations|Suspension of Trading in Debentures of TATA HOUSING DEVELOPMENT COMPANY LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-7/20251127-7.pdf
|20251127-6|Debt|Corporate Actions|Listing Operations|Suspension of Trading in Debenture of MUTHOOT MERCANTILE LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-6/20251127-6.pdf
|20251127-5|Equity|Company related|Listing Operations|Rights Entitlements of JAINEX AAMCOL LIMITED.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-5/20251127-5.pdf
|20251127-4|Equity|Corporate Actions|Listing Operations|New ISIN Number of MINI DIAMONDS INDIA LTD (Scrip Code: 523373)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-4/20251127-4.pdf
|20251127-3|General|Settlement/RMS|Post Trade|Settlement Schedule Offer to Buy – Acquisition Window (Takeover) for SOMA PAPERS AND INDUSTRIES LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-3/20251127-3.pdf
|20251127-2|General|Compliance|DOSS|Extension towards timeline for submission of the System Audit report of Trading Members (TYPE - III)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-2/20251127-2.pdf
|20251127-1|Debt|Trading|Trading Operations|Non-Competitive Bidding for Auction of GoI dated Securities (G-secs) on November 28, 2025|https://www.bseindia.com/downloads/UploadDocs/Notices/20251127-1/20251127-1.pdf
|20251128-58|General|Company related|Listing Operations|Daily Bulletin|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-58/20251128-58.pdf
|20251128-57|Equity|Corporate Actions|Listing Operations|Amend the Name of Maxheights Infrastructure Ltd (Scrip Code: 534338)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-57/20251128-57.pdf
