# date|notice_no|segment|category|department|subject|attachment
|20251128-56|Derivatives|Trading|Trading Operations|Pre-Trade Risk Control – Limit Price Protection in Equity Derivatives Segment|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-56/20251128-56.pdf
|20251128-55|Equity|Company related|Listing Operations|Listing of Equity Shares of Galada Power & Telecommunication Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-55/20251128-55.pdf
|20251128-54|Equity|Company related|Listing Operations|Listing of new Securities of PC JEWELLER LIMITED.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-54/20251128-54.pdf
|20251128-53|Equity|Company related|Listing Operations|Listing of new securities of Shree Hari Chemicals Export Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-53/20251128-53.pdf
|20251128-52|Equity|Trading|DOSS|Applicability of Long Term Additional Surveillance Measure (LT-ASM)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-52/20251128-52.pdf
|20251128-51|Equity|Trading|DOSS|Enhanced Surveillance Measure (ESM)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-51/20251128-51.pdf
|20251128-50|Commodity Derivatives|Settlement/RMS|Post Trade|BCX – Tender Period Margin Tracker – December 2025|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-50/20251128-50.pdf
|20251128-49|Equity|Company related|Listing Operations|Listing of New Securities of SEPC Ltd.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-49/20251128-49.pdf
|20251128-48|Equity|Trading|DOSS|CHANGES IN PRICE BAND|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-48/20251128-48.pdf
|20251128-47|Equity|Trading|DOSS|Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-47/20251128-47.pdf
|20251128-46|Equity|Company related|DOSS|Clarifications received from the companies|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-46/20251128-46.pdf
|20251128-45|Equity|Trading|DOSS|Applicability of Short Term Additional Surveillance Measure (ST-ASM)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-45/20251128-45.pdf
|20251128-44|Equity|Trading|DOSS|Surveillance Measure for securities under IBC|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-44/20251128-44.pdf
|20251128-43|Equity|Trading|DOSS|Measure in respect of companies with high Promoter as well as non- Promoter ‘Encumbrance’ as per Reg. 28(3) of SEBI (SAST) Regulation 2011.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-43/20251128-43.pdf
|20251128-42|Mutual Fund|Trading|Trading Operations|Change in minimum number of Instalments for GROWW MUTUAL FUND on BSE StAR MF platform|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-42/20251128-42.pdf
|20251128-41|Equity|Company related|Listing Operations|Update on listing and trading of DS Kulkarni Developers Limited (Scrip Code – 523890)|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-41/20251128-41.pdf
|20251128-40|General|Compliance|DOSS|Order in respect of Droneacharya Aerial Innovations Limited.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-40/20251128-40.pdf
|20251128-39|Mutual Fund|Trading|Trading Operations|Launch of New Fund Offer with SIP facility of UNION Mutual Fund on BSE StAR MF Platform|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-39/20251128-39.pdf
|20251128-38|Equity|Company related|Listing Operations|Public Issue of RAVELCARE LIMITED - Allocation to Anchor Investors|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-38/20251128-38.pdf
|20251128-37|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of AAVAS FINANCIERS LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-37/20251128-37.pdf
|20251128-36|Mutual Fund|Trading|Trading Operations|Launch of ETF New Fund Offer of Bandhan Mutual Fund on BSE StAR MF Platform|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-36/20251128-36.pdf
|20251128-35|Mutual Fund|Trading|Trading Operations|Launch of ETF New Fund Offer of Bandhan Mutual Fund on BSE StAR MF Platform|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-35/20251128-35.pdf
|20251128-34|Debt|Corporate Actions|Listing Operations|Part Redemption of Bonds of VIVRITI CAPITAL LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-34/20251128-34.pdf
|20251128-33|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of VERITAS FINANCE LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-33/20251128-33.pdf
|20251128-32|Debt|Company related|Listing Operations|Update Regarding debt securities of Setco Auto Systems Pvt. Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-32/20251128-32.pdf
|20251128-31|Debt|Company related|Listing Operations|Update Regarding debt securities of Piramal Finance Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-31/20251128-31.pdf
|20251128-30|Debt|Company related|Listing Operations|Listing of new Commercial Paper of Manappuram Finance Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-30/20251128-30.pdf
|20251128-29|Debt|Company related|Listing Operations|Listing of new Commercial Paper of Fedbank Financial Services Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-29/20251128-29.pdf
|20251128-28|Debt|Company related|Listing Operations|Listing of new debt securities of HDB Financial Services Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-28/20251128-28.pdf
|20251128-27|Debt|Company related|Listing Operations|Listing of new debt securities of NAMDEV FINVEST PRIVATE LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-27/20251128-27.pdf
|20251128-26|Debt|Company related|Listing Operations|Listing of new debt securities of CSA Investments Private Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-26/20251128-26.pdf
|20251128-25|Debt|Company related|Listing Operations|Listing of new debt securities of UGRO CAPITAL LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-25/20251128-25.pdf
|20251128-24|Debt|Company related|Listing Operations|Listing of new debt securities of India Shelter Finance Corporation Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-24/20251128-24.pdf
|20251128-23|Debt|Company related|Listing Operations|Listing of new debt securities of Midland Microfin Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-23/20251128-23.pdf
|20251128-22|Debt|Company related|Listing Operations|Listing of new debt securities of Nuvama Wealth Finance Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-22/20251128-22.pdf
|20251128-21|Equity|Company related|Listing Operations|Listing of New Securities of Aurum PropTech Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-21/20251128-21.pdf
|20251128-20|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of UGRO CAPITAL LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-20/20251128-20.pdf
|20251128-19|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of MANBA FINANCE LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-19/20251128-19.pdf
|20251128-18|Equity|Company related|Listing Operations|Listing of New Securities of Bridge Securities Ltd.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-18/20251128-18.pdf
|20251128-17|Equity|Company related|Listing Operations|Listing of New Securities of Shree Ganesh Remedies Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-17/20251128-17.pdf
|20251128-16|Debt|Company related|Listing Operations|Listing of new debt securities of Power Finance Corporation Ltd|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-16/20251128-16.pdf
|20251128-15|Equity|Company related|Listing Operations|Listing of further securities issued by the companies under ESOP/ESOS|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-15/20251128-15.pdf
|20251128-14|Mutual Fund|Trading|Trading Operations|Revise and Revamp of Nomination Facilities in Mutual Funds Segment- Update|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-14/20251128-14.pdf
|20251128-13|Mutual Fund|Company related|Listing Operations|Listing of Units Of DSP MSCI India ETF a scheme under DSP Mutual Fund|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-13/20251128-13.pdf
|20251128-12|Equity|Index|Index Cell|Addition to the BSE IPO INDEX|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-12/20251128-12.pdf
|20251128-11|Equity|Index|Index Cell|Corporate Action Announcement for Hindustan Unilever Ltd. in BSE Indices|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-11/20251128-11.pdf
|20251128-10|Debt|Corporate Actions|Listing Operations|Suspension of Trading in Debentures of SAMUNNATI FINANCE PRIVATE LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-10/20251128-10.pdf
|20251128-9|Equity|Company related|Listing Compliance-Monitoring|Discontinuation of weekly trading in securities of company suspended for non-compliances with provisions of certain Regulations of SEBI (Depositories and Participants) Regulations, 2018|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-9/20251128-9.pdf
|20251128-8|General|Settlement/RMS|Post Trade|Demat Auction -765|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-8/20251128-8.pdf
|20251128-7|Debt|Company related|Listing Operations|Change in Name of the Company.|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-7/20251128-7.pdf
|20251128-6|Derivatives|Settlement/RMS|Post Trade|Measures for Enhancing Trading Convenience and Strengthening Risk Monitoring in Equity Derivatives|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-6/20251128-6.pdf
|20251128-5|Equity|Company related|Listing Operations|Listing of Securities Darshan Orna Limited|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-5/20251128-5.pdf
|20251128-4|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of VISTAAR FINANCIAL SERVICES PVT LTD|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-4/20251128-4.pdf
|20251128-3|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of INDEL MONEY LIMITED|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-3/20251128-3.pdf
|20251128-2|Debt|Corporate Actions|Listing Operations|Part Redemption of Debentures of VISTAAR FINANCIAL SERVICES PVT LTD|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-2/20251128-2.pdf
|20251128-1|General|Others|Membership Compliance|Payment of SEBI Turnover Fees across segments including applicable GST|https://www.bseindia.com/downloads/UploadDocs/Notices/20251128-1/20251128-1.pdf
|20251129-3|Debt|Trading|Trading Operations|Non-Competitive Bidding Facility for Auction of Treasury Bills (T-Bills) on December 03, 2025|https://www.bseindia.com/downloads/UploadDocs/Notices/20251129-3/20251129-3.pdf
|20251129-2|Debt|Trading|Trading Operations|Non-Competitive Bidding Facility for Auction of State Government Securities (SDL) on December 02, 2025|https://www.bseindia.com/downloads/UploadDocs/Notices/20251129-2/20251129-2.pdf
|20251129-1|SLB|Settlement/RMS|Post Trade|Market Wide Position Limits for stocks traded under SLBS – December 2025|https://www.bseindia.com/downloads/UploadDocs/Notices/20251129-1/20251129-1.pdf
