# date|circular_no|category|title|link
29 Jan 2026|53|T&S|Modification in Natural Gas Options Contract with Natural Gas (1,250 MMBTU) Futures as underlying and Natural Gas Mini Options Contract with Natural Gas Mini (250 MMBTU) Futures as underlying|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-053---2026.pdf?sfvrsn=8a7e3a9e_0
29 Jan 2026|52|T&S|Modification in the Contract Specifications (Strike price Interval) in Gold and Gold Mini Options Contracts|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-052---2026.pdf?sfvrsn=fc843a9e_0
29 Jan 2026|51|Membership and Compliance|Schedule for Reporting of Holding Statement on account of Live Trading Session on Sunday, February 01, 2026 – Presentation of Union Budget|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-051-2026.pdf?sfvrsn=b9873a9e_0
29 Jan 2026|50|MCXCCL|Revised List of Approved Securities, Approved Commodities and Approved Banks|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---050---2026.pdf?sfvrsn=eb8d3a9e_2
29 Jan 2026|49|MCXCCL|ComRIS Member API|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circulars-049-2026.pdf?sfvrsn=c0883a9e_0
30 Jan 2026|59|T&S|Futures and Options Contracts Launch Calendar for the month of February 2026|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---059---2026.pdf?sfvrsn=be193a9e_0
30 Jan 2026|58|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---058---2026.pdf?sfvrsn=16203a9e_0
30 Jan 2026|57|T&S|Deactivation of Illiquid Strikes of Silver and Silver Mini|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---057---2026.pdf?sfvrsn=32203a9e_0
30 Jan 2026|56|MCXCCL|Surrender of empanelment by ‘Star Agriwarehousing & Collateral Management Limited’ as Warehouse Service Provider (WSP)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-056-2026.pdf?sfvrsn=45223a9e_0
30 Jan 2026|55|T&S|Extension for Upload of Client Records to KRAs for Validations|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circfular---055---2026.pdf?sfvrsn=7d2c3a9e_0
30 Jan 2026|54|MCXCCL|Funds Pay-in and Pay-out of trades of February 01, 2026 on Occasion of Presentation of Union Budget|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---054---202686c95e4857fb64e3bdfdff00007acb35.pdf?sfvrsn=d6323a9e_0
31 Jan 2026|61|MCXCCL|Revised limit for Commodities as collateral – Bullion|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-061---2026.pdf?sfvrsn=33dd3b9e_0
31 Jan 2026|60|MCXCCL|Withdrawal of Additional Margin in GOLD and SILVER|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxmcxccl-060-2026-withdrawal-of-additional-margin-in-gold-and-silver.pdf?sfvrsn=5de03b9e_0
