# date|circular_no|category|title|link
01 Jan 2026|1|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-001-2026.pdf?sfvrsn=42543f9e_0
02 Jan 2026|2|GENERAL|Provisions relating to Strengthening Governance of Market Infrastructure Institutions (MIIs)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-002-2026d0c15b4857fb64e3bdfdff00007acb35.pdf?sfvrsn=603a3f9e_0
05 Jan 2026|5|CTCL|Trading Market Data Interface (API) MDI & EMDI - V1.6|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxctcl0052026-trading-market-data-interface-(api)-mdi-emdi---v1-6.pdf?sfvrsn=ce0f3f9e_0
05 Jan 2026|4|TECH|Advisory for Financial Sector Organizations regarding Software as a Service|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxtech0042026-advisory-for-financial-sector-organizations-regarding-software-as-a-service.pdf?sfvrsn=a5153f9e_0
05 Jan 2026|3|TECH|Information sharing on Cyber Security Incident|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxtech0032026-information-sharing-on-cyber-security-incident.pdf?sfvrsn=43113f9e_0
06 Jan 2026|6|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-006-2026.pdf?sfvrsn=5af6389e_4
07 Jan 2026|11|MCXCCL|Revision in Threshold Limits for Concentration Margin|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-011---2026.pdf?sfvrsn=30d6389e_0
07 Jan 2026|10|MCXCCL|Alternate Risk Management Framework Applicable in case of Near Zero and Negative Prices|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-010---2026.pdf?sfvrsn=dcd6389e_0
07 Jan 2026|9|T&S|Event Based Additional Surveillance Margin (E-ASM)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---009---2026.pdf?sfvrsn=1bd0389e_0
07 Jan 2026|8|TECH|Stream and Partition Change Due Product Movement Between Partition|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxtech0082026---stream-and-partition-change-due-product-movement-between-partition.pdf?sfvrsn=afd0389e_0
07 Jan 2026|7|TECH|Mock Trading|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-007-2026.pdf?sfvrsn=19d1389e_0
08 Jan 2026|13|MCXCCL|Review of Volatility Scan Range (VSR)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-013---2026.pdf?sfvrsn=76b2389e_0
08 Jan 2026|12|TECH|Product Movement Between Partition|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-012-2026.pdf?sfvrsn=10bc389e_0
09 Jan 2026|16|MCXCCL|Settlement Holiday on account of Municipal Corporation Elections in Maharashtra on January 15 2026|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-016-2026.pdf?sfvrsn=d4a5389e_0
09 Jan 2026|15|TECH|Review of Framework to address the ‘Technical Glitches’ in Stock Brokers’ Electronic Trading Systems|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxtech0152026-review-of-framework-to-address-the-technical-glitches-in-stock-brokers-electronic-trading-systems.pdf?sfvrsn=2a6389e_0
09 Jan 2026|14|TECH|Introduction of additional Service Provider for Point-to-Point Leased Line Connectivity|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-014-2026.pdf?sfvrsn=91ac389e_0
12 Jan 2026|18|T&S|Guidelines in pursuance of amendment to SEBI KYC (Know Your client) Registration Agency (KRA) Regulations, 2011|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---018---2026.pdf?sfvrsn=8978389e_0
12 Jan 2026|17|T&S|Trading Holiday on account of Municipal Corporation Election in Maharashtra on January 15, 2026 |https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-017---2026.pdf?sfvrsn=4c85389e_0
13 Jan 2026|22|MCXCCL|Review of Margin Period of Risk (MPOR)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-022-2026.pdf?sfvrsn=6b66389e_0
13 Jan 2026|21|T&S|Modification in Copper Options Contract with Copper (2500 Kilograms) Futures (Compulsory delivery) as underlying|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-021-2026.pdf?sfvrsn=7d67389e_0
13 Jan 2026|20|Membership and Compliance|Approval of Surrender of Membership|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxmem0202026-approval-of-surrender-of-membership.pdf?sfvrsn=b162389e_0
13 Jan 2026|19|Investor Services|Change in address of Delhi Investor Service Centre (ISC)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---019---2026.pdf?sfvrsn=e16b389e_0
14 Jan 2026|23|TECH|Mock Trading|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-023-2026.pdf?sfvrsn=e041389e_0
16 Jan 2026|27|T&S|Live Trading Session on February 01, 2026 (Sunday)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-027-2026.pdf?sfvrsn=4f0d389e_0
16 Jan 2026|26|MCXCCL|Revised list of Approved Commodities accepted as Collaterals|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-026-2026.pdf?sfvrsn=760e389e_0
16 Jan 2026|25|CTCL|Trading Market Data Interface (API) MDI & EMDI - V1.6 - Live|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-025-2026.pdf?sfvrsn=e417389e_0
16 Jan 2026|24|TECH|New version of Trading Software|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-024-2026.pdf?sfvrsn=4b13389e_0
19 Jan 2026|29|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-029-2026.pdf?sfvrsn=efdb399e_0
19 Jan 2026|28|Membership and Compliance|Reminder for submission of Action Taken Report (ATR) for non-compliance(s) reported in the Internal Audit Report for the half year ended September 30, 2025|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-028-2026.pdf?sfvrsn=c4ec399e_0
20 Jan 2026|30|MCXCCL|Delivery & Invoices Settlement Schedule for February 2026 expiry contracts|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-30-2026.pdf?sfvrsn=e1ab399e_0
21 Jan 2026|34|MCXCCL|Update on Additional Margin in All Variants of Gold and Silver Future Contracts|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-034--2026.pdf?sfvrsn=d382399e_0
21 Jan 2026|33|MCXCCL|Tender / Pre–Expiry Margin Schedule for the Month of February 2026|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-033--2026.pdf?sfvrsn=ff82399e_0
21 Jan 2026|32|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---032---2026.pdf?sfvrsn=3f8f399e_0
21 Jan 2026|31|Membership and Compliance|Annual Calendar for Settlement of Running Account of clients’ funds lying with the Trading Members.|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-031-2026.pdf?sfvrsn=3794399e_0
23 Jan 2026|38|TECH|Security Requirements for Members Connecting Through MCX SSL VPN Solution|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-038-2026.pdf?sfvrsn=7f46399e_0
23 Jan 2026|37|MCXCCL|Acceptance of Electronic Fixed Deposit Receipts(e-FDRs) and Bank Guarantee (eBG)|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-037-2026.pdf?sfvrsn=e041399e_2
23 Jan 2026|36|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-036-2026.pdf?sfvrsn=344a399e_0
23 Jan 2026|35|TECH|Product Movement Between Partition|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/mcxtech0352026---product-movement-between-partition.pdf?sfvrsn=8854399e_0
27 Jan 2026|44|T&S|Commencement of Futures Trading in Gold Ten July 2026 Contract|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---044---2026.pdf?sfvrsn=14d83a9e_0
27 Jan 2026|43|T&S|Commencement of Futures Trading in Gold Petal July 2026 Contract|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---043---2026.pdf?sfvrsn=ced83a9e_0
27 Jan 2026|42|T&S|Commencement of Futures Trading in Gold Guinea July 2026 Contract|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---042---2026.pdf?sfvrsn=ead83a9e_0
27 Jan 2026|41|T&S|Commencement of Futures Trading in Gold Mini August 2026 Contract|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---041---2026.pdf?sfvrsn=b6d83a9e_0
27 Jan 2026|40|T&S|Commencement of Futures Trading in Gold February 2027 Contract|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---040---2026.pdf?sfvrsn=ccd93a9e_0
27 Jan 2026|39|MCXCCL|Schedule of Client Collateral Segregation Reporting on account of Special Live Trading Session on Sunday, February 01, 2026 - Presentation of Union Budget|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-039-2026.pdf?sfvrsn=d8eb3a9e_0
28 Jan 2026|48|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---048---2026.pdf?sfvrsn=eeb63a9e_0
28 Jan 2026|47|MCXCCL|Update on Additional Margin in All Variants of Gold Future Contracts|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular-047-2026.pdf?sfvrsn=6b03a9e_0
28 Jan 2026|46|T&S|Modification in the Contract Specifications (Strike price Interval) in Silver and Silver Mini Options Contracts|https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---046---2026.pdf?sfvrsn=f2be3a9e_0
28 Jan 2026|45|T&S|Modification in Lead and Lead Mini Futures Contract |https://www.mcxindia.com/docs/default-source/circulars/english/2026/january/circular---045---2026.pdf?sfvrsn=30df3a9e_2
