# date|circular_no|category|title|link
24 Dec 2025|659|MCXCCL|Update on Additional Margin in All Variants of Gold and Silver Future Contracts|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-659---2025.pdf?sfvrsn=3af83f9e_0
04 Dec 2025|624|Membership and Compliance|Application for Surrender of Membership|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/mcxmem6242025-application-for-surrender-of-membership.pdf?sfvrsn=54563d9e_0
04 Dec 2025|623|MCXCCL|Adherence to TRAI Direction dated November 18, 2025 – Mandatory Variable Tagging and Template Validation Timelines|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-623-25.pdf?sfvrsn=bc503d9e_0
05 Dec 2025|627|MCXCCL|Alternate Risk Management Framework Applicable in case of Near Zero and Negative Prices|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-627--2025.pdf?sfvrsn=c3f3d9e_0
05 Dec 2025|626|CTCL|Algo Provider - Provisional Empanelment for providing Algorithmic Trading Facility|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/mcxctcl6262025_algo-provider---provisional-empanelment-algobulls.pdf?sfvrsn=fd3f3d9e_2
05 Dec 2025|625|MCXCCL|Review of Volatility Scan Range (VSR)|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-625--2025.pdf?sfvrsn=e4383d9e_0
08 Dec 2025|628|MCXCCL|Due Date Rates|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-628--2025.pdf?sfvrsn=79243d9e_0
09 Dec 2025|630|MCXCCL|Revision in Threshold Limits for Concentration Margin|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-630---2025.pdf?sfvrsn=280e3d9e_0
09 Dec 2025|629|Membership and Compliance|Clarification on the Digital accessibility circulars of SEBI|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-629-2025.pdf?sfvrsn=f9093d9e_0
10 Dec 2025|632|MCXCCL|Review of Margin Period of Risk (MPOR)|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular-632-2025.pdf?sfvrsn=72fe3e9e_0
10 Dec 2025|231|T&S|Guidelines in pursuance of amendment to SEBI KYC (Know Your client) Registration Agency (KRA) Regulations, 2011|https://www.mcxindia.com/docs/default-source/circulars/english/2025/december/circular---631---2025.pdf?sfvrsn=1cfe3e9e_0
